bikes,disponibilityRate,name,zone,occupyRate,free,datetime,active,bases,dateMilliseconds,address,lat,lng,id
8,66,Pza. de Los Astros,40.41--3.67,34,16,2014-07-10 19:00:08.951000,True,24,1405018808000,Avda Nazaret 7(Pza astros),40.4114475,-3.6689089,73
10,58,Puerta del Pacifico,40.41--3.68,42,14,2014-07-10 19:00:08.951000,True,24,1405018808000,Calle Menendez Pelayo No 73,40.4117627,-3.6766813,74
12,50,Menendez Pelayo,40.41--3.68,50,12,2014-07-10 19:00:08.951000,True,24,1405018808000,Calle Menendez Pelayo(Poeta Esteban Villegas),40.4082805,-3.6784838,75
10,58,Puerta de Mariano Cavia,40.41--3.68,42,14,2014-07-10 19:00:08.951000,True,24,1405018808000,Avenida del Mediterraneo No 19,40.4076726,-3.6750121,76
8,66,Conde de Casal,40.41--3.67,34,16,2014-07-10 19:00:08.951000,True,24,1405018808000,Plaza Conde de Casal No 8,40.4068676,-3.6701204,77
22,8,Pedro Bosch,40.4--3.67,92,2,2014-07-10 19:00:08.951000,True,24,1405018808000,c/cerro de la plata No 2,40.4009101,-3.6744804,78
13,45,Puerta de Granada,40.41--3.68,55,11,2014-07-10 19:00:08.951000,True,24,1405018808000,Calle Menendez Pelayo No 38,40.4051451,-3.6803874,79
7,70,Atocha A,40.41--3.69,30,17,2014-07-10 19:00:08.951000,True,24,1405018808000,avda Ciudad de Brcelona(ATOCHA),40.4075685,-3.6902255,80a
12,55,Atocha B,40.41--3.69,45,15,2014-07-10 19:00:08.951000,True,27,1405018808000,avda Ciudad de Brcelona(ATOCHA),40.4074902,-3.6901234,80b
5,79,Cuesta Moyano,40.41--3.69,21,19,2014-07-10 19:00:08.951000,True,24,1405018808000,Cuesta de Claudio Moyano,40.4099442,-3.6926794,81
8,66,Niño Jesus,40.41--3.67,34,16,2014-07-10 19:00:08.951000,True,24,1405018808000,Calle Doctor Esquerdo No 161,40.4084556,-3.6697526,82
6,75,Pio Baroja,40.41--3.68,25,18,2014-07-10 19:00:08.951000,True,24,1405018808000,Calle Pio Baroja No 10,40.4130243,-3.6751105,83
13,45,Valderribas,40.4--3.67,55,11,2014-07-10 19:00:08.951000,True,24,1405018808000,Calle Doctor Esquerdo No 191,40.4032501,-3.6726019,84
6,75,Puerta de Madrid,40.42--3.68,25,18,2014-07-10 19:00:08.951000,True,24,1405018808000,Calle Menendez Pelayo (o?Donnell),40.4220058,-3.6799277,85
12,50,Cibeles,40.42--3.69,50,12,2014-07-10 19:00:08.951000,True,24,1405018808000,Paseo del Prado (Cibeles),40.4186148,-3.6926217,86
2,91,Ayala,40.43--3.68,9,22,2014-07-10 19:00:08.951000,True,24,1405018808000,Calle Ayala no 44,40.427736,-3.6832566,87
9,62,Embajada de Italia,40.43--3.68,38,15,2014-07-10 19:00:08.951000,True,24,1405018808000,Calle Velazquez No 75,40.4313576,-3.6838303,88
10,58,Conde Peñalver,40.43--3.68,42,14,2014-07-10 19:00:08.951000,True,24,1405018808000,Calle Ayala No 102,40.4272582,-3.6752024,89
